condition_id,category,classification,P_i1,S_i,G_i_label,operative_proposed,operative_final,mechanical_final_correct_a1,legacy_final_correct,legacy_initial_correct,stratum,volume_gamma,G_i_source,question_text
0x02b24597f50f3e82567818789e8f5ad89064407c93696228cf248f95d027b769,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,,two_benchmark,
0x03d98588a81fdccc909ddf3734cbe3062e08f028c819b92117b63156c48df604,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,frozen,271927.494118,frozen,Guardians vs. Nationals
0x063cbb917ede07292e93a5fcc5270339ce3c0abf0dbc7a5aed0958bcb4e07f54,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,frozen,4257.93659,frozen,Will the highest temperature in London be between 70-71°F on June 2?
0x083a6c64a6680fc66c49aca31a06caaae6078493821d561366ddbc5157cb3b44,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,56543.938648,frozen,"Will Trump say ""Green new scam"" during Pennsylvania rally on October 9?"
0x0adf49b4376e36f20a541a16eeb9d61a8898091c4b795e7f658205687790d3a2,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,72105.326886,two_benchmark,Games Total: O/U 2.5
0x0ef9a1e851f603bde7134e58e4ed89b9e2879438881ae98c3ad30f20561b1995,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,35081.560939,frozen,Will DOGE audit the IRS before May?
0x1035630ed252f73525c383e9ef8dd999d3406d8382f1daca1256356633851a14,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,frozen,19615.386949,frozen,Will the highest temperature in Buenos Aires be 26°C on December 8?
0x10a4f1d27a07a15b8e15fde86bbb5b018c09b0c9c840247e87abc49fb640d03d,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,24671.926121,frozen,"Will Trump say ""Big beautiful deal"" this week?"
0x11bc44eaa81f5c06763e25425b9bf279240404b66658c2bf84be97eab96f6896,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,3182.182482,two_benchmark,1H Spread: Spurs (-1.5)
0x11c71b233e268a3b7e6552899b383e1c97136df2bea1e105c64530ac518a9f7c,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,6012.342105,two_benchmark,Dota 2: Team Rostik999 vs Team Stariy_Bog (BO3) - Winline Star Series Group A
0x11d82fbd97435ae32bc2247d2695dc8870a553e43c8e258216efe4ee132f6768,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,4022.371293,frozen,Southern vs. Alabama State
0x1288c77a7d662890bc91c238972725818f3dfd0249c1cfe50a71e38ea3292866,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,138027.185297,two_benchmark,"Will Trump say ""MAGA"" or ""Make America Great Again"" this week? (December 29 - January 4)"
0x138e6cdd41cb555cccbc9efe2d2d37afd154c515005839bd3034a80213aaee0c,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,10305.22,frozen,BPL: Durdanto Dhaka vs Rangpur Riders (Game 1) - Most Sixes Durdanto Dhaka Winner
0x17401e73f3c44b3c03235227335616a09db70dbf6ec1e4dfed3ed70f4bd93625,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,17705.789746,two_benchmark,Trump approval Up or Down this week?
0x178daa3428373da76550f98e22183c965dcc77cc3c9e95fa2534f45edf2d0c12,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,728964.02343,two_benchmark,Will Israel strike Lebanon on November 4?
0x1a80822e6a0647e635245bdff1e5ac724409233d825daf0eff5ca4a0e849b14d,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,,two_benchmark,
0x1d2caa968b480e7edcab05f100fc48b0da3db3aab4f2d2152a168202966d43f8,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,two_benchmark,346.25913,two_benchmark,Series: LNG Esports Kill Handicap (-13.5)
0x22ef905d2c1f47b416c783a43cf06eea3cd73732ca0ed4d021aab8423924bdb3,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,Yes,No,Yes,Yes,False,False,False,frozen,6253067.825541,frozen,Will Fed end QT before May?
0x25c753662d826b105acd02e1f958377b212d7ea477f12f19a41c5ef05ab519ea,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,two_benchmark,10407.83189,two_benchmark,Jusuf Nurkić: Rebounds Over 8.5
0x263f74915e6e991bc3e78cc92dac1136e7267ac7d36b52323fe9671a2246f9ff,1_uncorrected_oracle_error,uncorrected_oracle_error,No,Yes,No,No,Yes,False,False,True,frozen,39029.057407,frozen,Will the highest temperature in London be between 58-59°F on December 7?
0x26fd85f0907ff72bba2adefa47c9ab827ec51d7336f10021a46094c5413b6394,1_uncorrected_oracle_error,uncorrected_oracle_error,Yes,No,Yes,Yes,No,False,False,True,frozen,1090785.105641,frozen,Will Trump reduce tariffs on Mexico or Canada today?
