condition_id,question_text,P_i1,S_i,G_i_label,init_correct_recomputed,final_correct_recomputed,classification,stratum,n_episodes,volume_gamma,first_proposal_time_a1,settlement_time,G_i_source
0x29a6ab753d518cbbef4398201e791c9bb7d37853ae6acd6c7b0583d549e41ed9,IPL: Mumbai Indians vs. Chennai Super Kings 2023-04-08,Yes,No,No,False,True,corrected_proposer_error,two_benchmark,2.0,0.0,1680992818.0,1681005879.0,two_benchmark
0xb1fc4b084ec05ef3922a150a50aeb89ec0b456315be44c8d5fd2b074ac8ac484,MLB: New York Yankees vs. Minnesota Twins 2023-04-13,Yes,No,No,False,True,corrected_proposer_error,two_benchmark,2.0,0.0,1681435947.0,1681446027.0,two_benchmark
0x416e80bda3eab2cae78b1e96f7d95722cb938ec925755e4738a5a8bd9c283d7c,Greek Election: Will Syriza get more votes than PASOK?,No,Yes,Yes,False,True,corrected_proposer_error,two_benchmark,2.0,775.0,1688062798.0,1688076943.0,two_benchmark
0xbc28bcfa6166d4be35cb9371dc638ed4c423caf2a7b4511b82e7e437f5880470,Will Macron remain President of France through July 10?,No,Yes,Yes,False,True,corrected_proposer_error,frozen,2.0,9539.63,1689050362.0,1689064528.0,frozen
0x87daa6749229246c64b2bbe68b8d35f83fbe75ec28582e72f3eb27b32eef9cac,,Yes,No,No,False,True,corrected_proposer_error,two_benchmark,2.0,,1692449448.0,1733021854.0,two_benchmark
0x96af428ca8b21e7b3dc7fef4326127fb1d61ee0ca74c504ab639de105358d321,"Will $ETH hit $1,800 or $2,200 first?",Other,No,No,False,True,corrected_proposer_error,frozen,2.0,100450.05,1701643210.0,1701656131.0,frozen
0x23a8c070468592394f2364384f78195dcd809a20deda59647c1512c98e5b400f,US Congress approve more Ukraine aid in 2023?,Yes,No,No,False,True,corrected_proposer_error,both,2.0,107430.87,1703289750.0,1704093955.0,two_benchmark
0x32c02dd293eae94b38ad90b6c5cc237c29d0cbdc0d528a0b98d3ae0fda35c1d7,Will US attack Yemen in 2023?,Yes,No,No,False,True,corrected_proposer_error,frozen,2.0,114091.33,1704174757.0,1704673525.0,frozen
0xf5ae0b87895b7bb27e528864c7a03bdab68435b01e1f890a94c5995a2c33a58a,,No,Yes,Yes,False,True,corrected_proposer_error,two_benchmark,2.0,,1705426120.0,1720225845.0,two_benchmark
0xd52c52836eb9460fed64c27f317a197da346a5b48251879e6137fac5131cf939,Will Hezbollah deploy ground forces in Israel in January?,Yes,No,No,False,True,corrected_proposer_error,both,2.0,68624.96,1706077464.0,1706934927.0,two_benchmark
0x41a8be2033f484bd62eb530b0b1256f26c190ba870e33d09ce88bd053f7e9ef2,,No,Yes,Yes,False,True,corrected_proposer_error,two_benchmark,2.0,,1708945115.0,1709338844.0,two_benchmark
0xf1262dd8b387a8422b6951034fec225bbba44b27ece4c15900e8d5a74839e789,,Yes,No,No,False,True,corrected_proposer_error,two_benchmark,2.0,,1709494273.0,1709505039.0,two_benchmark
0x5bed1996d8d8ff8caf100c03cc790b09444aa6841c9245edb077bd5aaee5d766,,Yes,No,No,False,True,corrected_proposer_error,two_benchmark,2.0,,1710117597.0,1710125115.0,two_benchmark
0x6bf8a16a0d31d4a2431ccad2ffa7341415ebdb3a63d7dcb7765c0a5d8ca92655,Ukraine responsible for Moscow attack? ,Yes,No,No,False,True,corrected_proposer_error,both,2.0,349784.9,1711694651.0,1711951568.0,two_benchmark
0x2141f4de7fa5f61591e7c50a3761d2cd01793875cbf64ea014fa2a955ec770c7,Kanye drops music in May?,No,Yes,Yes,False,True,corrected_proposer_error,frozen,2.0,9901.05,1717265994.0,1717281136.0,frozen
0x8a05f4cc458c938152f6d2d9152cd3358a81f7dea570cbe4a46ad39603f5d34b,"Will Trump say ""mog"" in 2024?",No,No,Yes,False,False,uncorrected_oracle_error,frozen,3.0,252492.688881,1719814476.0,1735716162.0,frozen
0xa13ac87de70f1fb7b1798f793109394369cc9c21dbcc9cba30b4f3c3fd615695,,No,Yes,Yes,False,True,corrected_proposer_error,two_benchmark,2.0,,1720396113.0,1720744076.0,two_benchmark
0x7900a0d9619f45ef6ef93ef915d294e4f4116692227e0ab5bbe97a82e94591b8,Derivatives_Ape/Prometheus arrested this year?,Yes,No,No,False,True,corrected_proposer_error,both,2.0,362061.363409,1720778092.0,1735750348.0,two_benchmark
0x5d2f7f958eeb52835fc4bcbb86d5a89ee8b51a7263a065b8b4699db6a8ce6562,Fact Check: Was it a real gun?,No,Yes,Yes,False,True,corrected_proposer_error,frozen,2.0,47597.01,1721084091.0,1721093455.0,frozen
0x1f4982110ff957efebc6e7f062364c0713f36071d72f33da7d7e6ef58b4b0ee9,CrowdStrike outage fixed by Noon?,Invalid,No,No,False,True,corrected_proposer_error,frozen,2.0,16522.36,1721407449.0,1721420776.0,frozen
0x38cfedbb65800a6c48a8f45289266898090212fefc9b4f3837902efdca49270a,Democratic Blitz primary?,Yes,No,No,False,True,corrected_proposer_error,both,2.0,345851.82,1721854687.0,1722575435.0,two_benchmark
0xbd00b7bbe9cfd644555601eab5e6839d300f157655c7398e52363d65ca31d60e,Will Kamala Harris be the Democratic VP nominee?,Yes,No,No,False,True,corrected_proposer_error,frozen,2.0,1397015.7,1722940670.0,1723162853.0,frozen
0xc2d728a0c634f0b453d51e61759041cd054706ca808041a44ed07a7986946479,Olympic Basketball: USA vs. Brazil,No,Yes,Yes,False,True,corrected_proposer_error,frozen,2.0,161674.15,1722978648.0,1722989961.0,frozen
0x8ac895dff15e7b295051dc3c93e70c73ba3c868ebcbeca5dcf405f8db28531fc,,Yes,No,No,False,True,corrected_proposer_error,two_benchmark,2.0,,1723280386.0,1723316140.0,two_benchmark
0xb5c67f0d83f0e342693f27754be4571101be8942784f32191bec474923b47293,,No,Yes,Yes,False,True,corrected_proposer_error,two_benchmark,2.0,,1724211134.0,1724545246.0,two_benchmark
